FID,id,fromnode,tonode,leftpolygo,rightpolyg,shape_leng,shape_le_1,the_geom
hti_boundaries_sections_communales_adm3_cnigs_line.13,291,18,13,14,7,0.04434524,0.04434524,"MULTILINESTRING ((-73.87292796299994 18.152549087000068, -73.8691212999999 18.14916492000009, -73.86799623799993 18.149194444000045, -73.86733915899993 18.14847661300007, -73.86767111799992 18.146833796000067, -73.86774659399993 18.14392435600007, -73.86828817199995 18.142020658000092, -73.86835136699995 18.14101793800006, -73.86735111299993 18.14074994100008, -73.8656973869999 18.140685991000055, -73.8644041579999 18.140416343000084, -73.86292093399993 18.14029907300005, -73.86216425799995 18.13891194200005, -73.86379323599994 18.13695143600006, -73.86207206899991 18.135630891000062, -73.86030163099991 18.134617328000047, -73.85917482799994 18.132007971000064, -73.85707778499994 18.130359799000075, -73.8570594489999 18.128814399000078, -73.8575125399999 18.127452409000057, -73.85757959699993 18.125862338000047, -73.85682296199991 18.124484134000056, -73.85630268999995 18.123098387000084, -73.85512711299992 18.12219673600009, -73.85400181499995 18.12228943200006))"
hti_boundaries_sections_communales_adm3_cnigs_line.14,292,19,18,14,8,0.00748985,0.00748985,"MULTILINESTRING ((-73.87796293199995 18.157539865000047, -73.87674382099993 18.156005522000044, -73.87455513599991 18.155305868000085, -73.8739187999999 18.154299052000056, -73.87374331899991 18.15365634300008, -73.87292796299994 18.152549087000068))"
hti_boundaries_sections_communales_adm3_cnigs_line.15,293,15,22,9,8,0.05415018,0.05415018,"MULTILINESTRING ((-73.90466376799992 18.124879692000036, -73.9061633739999 18.12843078900005, -73.90940925599995 18.13542592600004, -73.91018602399993 18.13973204800004, -73.90214533299991 18.149817101000053, -73.9008934979999 18.15046067700007, -73.89714493299994 18.151288720000082, -73.8948365139999 18.153100962000053, -73.89185814399991 18.15470150100009, -73.8891161119999 18.15480314100006, -73.8830504469999 18.160244548000037, -73.88019543099995 18.160264083000072))"
hti_boundaries_sections_communales_adm3_cnigs_line.16,294,22,19,22,8,0.00352213,0.00352213,"MULTILINESTRING ((-73.88019543099995 18.160264083000072, -73.87796293199995 18.157539865000047))"
hti_boundaries_sections_communales_adm3_cnigs_line.17,295,27,28,10,9,0.01013147,0.01013147,"MULTILINESTRING ((-73.90607396999991 18.170155185000056, -73.90042817699992 18.168930039000088, -73.89632544999995 18.170388580000065))"
hti_boundaries_sections_communales_adm3_cnigs_line.18,296,28,22,22,9,0.02145036,0.02145036,"MULTILINESTRING ((-73.89632544999995 18.170388580000065, -73.89506776999991 18.16893543900005, -73.8944670859999 18.168245124000066, -73.89238824999995 18.16808859100007, -73.8909520009999 18.16797188600009, -73.88965943999995 18.167557747000046, -73.88366398099993 18.16634816800007, -73.8810979719999 18.16401065000008, -73.88067138699995 18.16271585600009, -73.88049322499995 18.16248893800008, -73.87978384899992 18.161056968000082, -73.88019543099995 18.160264083000072))"
hti_boundaries_sections_communales_adm3_cnigs_line.19,297,17,23,11,9,0.03349438,0.03349438,"MULTILINESTRING ((-73.94999967699994 18.131792653000048, -73.9491614289999 18.132872603000067, -73.94694836899993 18.133086397000056, -73.94757627999991 18.13557511500005, -73.94721509499993 18.137489103000064, -73.94863952399993 18.13953925600009, -73.94880114799992 18.152038836000088, -73.94678840299991 18.15979990200009, -73.94659460699995 18.16216656800009))"
hti_boundaries_sections_communales_adm3_cnigs_line.20,298,23,27,10,9,0.05640114,0.05640114,"MULTILINESTRING ((-73.94659460699995 18.16216656800009, -73.94128521499994 18.164713032000066, -73.9384886599999 18.167553423000072, -73.9371379019999 18.168928642000083, -73.9369754679999 18.175452635000056, -73.93436318399995 18.18060756400007, -73.93029575199995 18.182473706000053, -73.92460269999992 18.18114055800004, -73.92036209399993 18.17733919300008, -73.91369957699993 18.172294992000047, -73.90607396999991 18.170155185000056))"
hti_boundaries_sections_communales_adm3_cnigs_line.21,299,38,30,20,10,0.01489325,0.01489325,"MULTILINESTRING ((-73.91378152999994 18.183492641000043, -73.90947386399995 18.179862336000042, -73.90545871199993 18.177860412000086, -73.90210668599991 18.175663241000052, -73.90146644499993 18.175243868000052))"
hti_boundaries_sections_communales_adm3_cnigs_line.22,300,30,28,22,10,0.00708198,0.00708198,"MULTILINESTRING ((-73.90146644499993 18.175243868000052, -73.90049810699992 18.17437076300007, -73.89981180099994 18.173752345000082, -73.89937001599992 18.17335217200008, -73.89847686399992 18.17255177000004, -73.89799742399993 18.17211523800006, -73.89772410599994 18.171865772000046, -73.89749923599993 18.17166052600004, -73.89697278799991 18.171187581000083, -73.89632544999995 18.170388580000065))"
hti_boundaries_sections_communales_adm3_cnigs_line.23,301,23,25,11,10,0.00563916,0.00563916,"MULTILINESTRING ((-73.94659460699995 18.16216656800009, -73.9482640569999 18.167552946000058))"
hti_boundaries_sections_communales_adm3_cnigs_line.24,302,25,45,11,10,0.0302027,0.0302027,"MULTILINESTRING ((-73.9482640569999 18.167552946000058, -73.94882038999992 18.169372466000084, -73.94856579599991 18.17557974600004, -73.9463079649999 18.18157717400004, -73.94585880099993 18.188677962000042, -73.94055173399994 18.195399614000053))"
hti_boundaries_sections_communales_adm3_cnigs_line.25,303,45,38,20,10,0.02979641,0.02979641,"MULTILINESTRING ((-73.94055173399994 18.195399614000053, -73.9347404479999 18.194771031000073, -73.92819206699994 18.192538544000058, -73.92021140799994 18.187993246000076, -73.91378152999994 18.183492641000043))"
hti_boundaries_sections_communales_adm3_cnigs_line.26,304,34,48,15,11,0.05880689,0.05880689,"MULTILINESTRING ((-74.00520395299992 18.181186263000086, -74.00388957599995 18.181206558000042, -73.99967728299993 18.18207936500005, -73.99898624899993 18.182220423000047, -73.99239779399994 18.18358674800004, -73.9879060909999 18.18697926400006, -73.98238352599992 18.188748498000052, -73.97291125099991 18.190053654000053, -73.96959196899991 18.191752963000056, -73.96488977799993 18.195442038000067, -73.96229364399994 18.196340778000092, -73.95767842099991 18.201277288000085, -73.95272741299993 18.20379885400007))"
hti_boundaries_sections_communales_adm3_cnigs_line.27,305,48,45,20,11,0.01480793,0.01480793,"MULTILINESTRING ((-73.95272741299993 18.20379885400007, -73.95071167999993 18.202486477000036, -73.94541750399992 18.19916786100009, -73.94055173399994 18.195399614000053))"
hti_boundaries_sections_communales_adm3_cnigs_line.28,306,16,50,16,12,0.09800367,0.09800367,"MULTILINESTRING ((-71.85446669499993 18.127813338000067, -71.85443124499994 18.133491135000043, -71.85269766499994 18.136974459000044, -71.84645580799992 18.142803264000065, -71.84577608099994 18.143848284000057, -71.84506861999995 18.15064337800004, -71.84252101399994 18.153688901000066, -71.84276883899992 18.15566098800008, -71.84275076699993 18.158242530000052, -71.84328389399991 18.166403048000063, -71.84255490899994 18.16755562600008, -71.84202070899994 18.168377370000087, -71.84198894899993 18.171717005000062, -71.84142358899993 18.176365856000075, -71.83788917399994 18.177544337000086, -71.83333620499991 18.178642856000067, -71.83041780499991 18.179696058000047, -71.82767787099993 18.179759094000076, -71.82756920899993 18.181589815000052, -71.82635728399993 18.18592994100004, -71.82476174299995 18.18955060500008, -71.82391474699995 18.190944811000065, -71.82131031199992 18.192382190000046, -71.82012259699991 18.193815853000046, -71.81857312299991 18.197482327000046, -71.8190291169999 18.200459854000087, -71.82107357299992 18.20334630800005, -71.82262887399992 18.206125453000084))"
hti_boundaries_sections_communales_adm3_cnigs_line.29,307,50,32,51,12,0.0497954,0.0497954,"MULTILINESTRING ((-71.82262887399992 18.206125453000084, -71.82057247799992 18.20597402700008, -71.81731093099995 18.205089394000083, -71.81155672499995 18.20363971100005, -71.80790867499991 18.20013054900005, -71.80371902399992 18.192667569000037, -71.80060801399992 18.182523453000044, -71.78892660499992 18.177832840000065, -71.78752422999992 18.17706010900008))"
hti_boundaries_sections_communales_adm3_cnigs_line.30,308,51,52,33,13,0.00742315,0.00742315,"MULTILINESTRING ((-72.82651719099994 18.206650945000092, -72.82460128799994 18.20566269200009, -72.8226564819999 18.205478060000075, -72.82099256099991 18.20627216200006, -72.81997740599991 18.20733553100007))"
hti_boundaries_sections_communales_adm3_cnigs_line.50,328,97,98,35,19,0.00103859,0.00103859,"MULTILINESTRING ((-72.68343898199993 18.24897959100008, -72.6825438859999 18.24904211900008, -72.68240274399994 18.249035263000053))"
hti_boundaries_sections_communales_adm3_cnigs_line.760,1038,640,639,286,235,0.00075192,0.00075192,"MULTILINESTRING ((-72.19801777499993 18.499198799000055, -72.19757264999993 18.49898610300005, -72.19733807799992 18.49909493100006))"
